Time;X Machine;Z Machine;Z Machine;Block time;
0:36:03;38.312;-5.;-5.;0:00:06;
0:36:05;35.812;-5.;-5.;0:00:02;
0:36:10;27.011;-5.;-5.;0:00:05;
0:36:13;24.511;-5.;-5.;0:00:02;
0:36:20;24.511;-5.;-5.;0:00:06;
0:36:22;27.011;-5.;-5.;0:00:02;
0:36:22;27.011;10.;10.;0:00:00;
0:36:22;27.011;10.;10.;0:00:00;
0:36:22;64.435;10.;10.;0:00:00;
0:36:22;64.435;10.;10.;0:00:00;
0:36:22;64.435;10.;10.;0:00:00;
0:36:22;10.998;10.;10.;0:00:00;
0:36:23;10.998;-4.;-4.;0:00:00;
0:36:24;10.998;-10.;-10.;0:00:01;
0:36:53;10.998;-10.;-10.;0:00:28;
0:37:00;18.498;-10.;-10.;0:00:07;
0:37:28;65.41;-10.;-10.;0:00:28;
0:37:30;67.91;-10.;-10.;0:00:02;
0:37:59;67.91;-10.;-10.;0:00:28;
0:38:06;60.41;-10.;-10.;0:00:07;
0:38:34;13.498;-10.;-10.;0:00:28;
0:38:36;10.998;-10.;-10.;0:00:02;
0:38:36;10.998;10.;10.;0:00:00;
0:38:36;10.998;10.;10.;0:00:00;
0:38:36;27.011;10.;10.;0:00:00;
0:38:36;27.011;-4.;-4.;0:00:00;
0:38:38;27.011;-10.;-10.;0:00:01;
0:38:44;35.812;-10.;-10.;0:00:05;
0:38:46;38.312;-10.;-10.;0:00:02;
0:38:53;38.312;-10.;-10.;0:00:06;
0:38:55;35.812;-10.;-10.;0:00:02;
0:39:00;27.011;-10.;-10.;0:00:05;
0:39:03;24.511;-10.;-10.;0:00:02;
0:39:09;24.511;-10.;-10.;0:00:06;
0:39:12;27.011;-10.;-10.;0:00:02;
0:39:12;27.011;10.;10.;0:00:00;
0:39:12;27.011;10.;10.;0:00:00;
0:39:12;64.435;10.;10.;0:00:00;
0:39:12;64.435;10.;10.;0:00:00;
0:39:12;64.435;10.;10.;0:00:00;
0:39:12;10.998;10.;10.;0:00:00;
0:39:12;10.998;-9.;-9.;0:00:00;
0:39:13;10.998;-12.5;-12.5;0:00:01;
0:39:42;10.998;-12.5;-12.5;0:00:28;
0:39:49;18.498;-12.5;-12.5;0:00:07;
